86,"Derrick Favors, PF",Utah Jazz,"$11,050,000 "
87,"Joe Johnson, SG",Utah Jazz,"$11,000,000 "
88,"Austin Rivers, PG",LA Clippers,"$11,000,000 "
89,"Jon Leuer, PF",Detroit Pistons,"$10,991,957 "
90,"Monta Ellis, SG",Indiana Pacers,"$10,763,500 "
91,"Mirza Teletovic, PF",Milwaukee Bucks,"$10,500,000 "
92,"Jared Dudley, SF",Phoenix Suns,"$10,470,000 "
93,"Zach Randolph, PF",Memphis Grizzlies,"$10,361,445 "
94,"Al Jefferson, C",Indiana Pacers,"$10,314,532 "
95,"Tyreke Evans, SG",Sacramento Kings,"$10,203,755 "
96,"Alec Burks, SG",Utah Jazz,"$10,154,495 "
97,"Danny Green, SG",San Antonio Spurs,"$10,000,000 "
98,"Terrence Ross, SG",Toronto Raptors,"$10,000,000 "
99,"Omer Asik, C",New Orleans Pelicans,"$9,904,494 "
100,"Iman Shumpert, SG",Cleveland Cavaliers,"$9,662,922 "
101,"Matthew Dellavedova, PG",Milwaukee Bucks,"$9,607,500 "
102,"Jerryd Bayless, PG",Philadelphia 76ers,"$9,424,084 "
103,"Trevor Booker, PF",Brooklyn Nets,"$9,250,000 "
104,"Meyers Leonard, C",Portland Trail Blazers,"$9,213,483 "
105,"Gerald Henderson, SG",Philadelphia 76ers,"$9,000,000 "
106,"Maurice Harkless, SF",Portland Trail Blazers,"$8,988,765 "
107,"Taj Gibson, PF",Oklahoma City Thunder,"$8,950,000 "
108,"Jeff Teague, PG",Indiana Pacers,"$8,800,000 "
109,"Tiago Splitter, C",Philadelphia 76ers,"$8,550,000 "
110,"Ersan Ilyasova, PF",Oklahoma City Thunder,"$8,400,000 "
111,"Dwight Powell, PF",Dallas Mavericks,"$8,375,000 "
112,"Avery Bradley, SG",Boston Celtics,"$8,269,663 "
113,"E'Twaun Moore, SG",New Orleans Pelicans,"$8,081,363 "
114,"Darrell Arthur, PF",Denver Nuggets,"$8,070,175 "
115,"Kosta Koufos, C",Sacramento Kings,"$8,046,500 "
116,"Yi Jianlian, SF",Los Angeles Lakers,"$8,000,000 "
117,"George Hill, PG",Utah Jazz,"$8,000,000 "
118,"Garrett Temple, SG",Sacramento Kings,"$8,000,000 "
119,"Anthony Tolliver, PF",Sacramento Kings,"$8,000,000 "
120,"Trevor Ariza, SF",Houston Rockets,"$7,806,971 "
121,"Channing Frye, PF",Cleveland Cavaliers,"$7,806,971 "
122,"Al-Farouq Aminu, PF",Portland Trail Blazers,"$7,680,965 "
123,"Cole Aldrich, C",Minnesota Timberwolves,"$7,643,979 "
124,"Corey Brewer, SF",Los Angeles Lakers,"$7,612,172 "
125,"Markieff Morris, PF",Washington Wizards,"$7,400,000 "
126,"Festus Ezeli, C",Portland Trail Blazers,"$7,400,000 "
127,"JJ Redick, SG",LA Clippers,"$7,377,500 "
128,"Cory Joseph, PG",Toronto Raptors,"$7,315,000 "
129,"D.J. Augustin, PG",Orlando Magic,"$7,250,000 "
130,"Boris Diaw, C",Utah Jazz,"$7,000,000 "
131,"Rodney Stuckey, PG",Indiana Pacers,"$7,000,000 "
132,"Boban Marjanovic, C",Detroit Pistons,"$7,000,000 "
133,"Ed Davis, PF",Portland Trail Blazers,"$6,666,667 "
134,"Isaiah Thomas, PG",Boston Celtics,"$6,587,132 "
